Real;;;System;;;Error;;
x;y;z;x;y;z;x;y;z
0;180;102;;;;;;
60;180;102;;;;;;
120;180;102;;;;;;
180;180;102;;;;;;
240;180;102;243;182;103;3;2;1
300;180;102;298;181;102;2;1;0
360;180;102;364;180;103;4;0;1
420;180;102;;;;;;
480;180;102;;;;;;
540;180;102;;;;;;
600;180;102;;;;;;
0;240;102;;;;;;
60;240;102;;;;;;
120;240;102;;;;;;
180;240;102;176;238;102;4;2;0
240;240;102;236;242;103;4;2;1
300;240;102;297;244;102;3;4;0
360;240;102;357;243;101;3;3;1
420;240;102;417;239;102;3;1;0
480;240;102;;;;;;
540;240;102;;;;;;
600;240;102;;;;;;
0;300;102;;;;;;
60;300;102;57;296;104;3;4;2
120;300;102;119;299;103;1;1;1
180;300;102;179;304;104;1;4;2
240;300;102;236;304;104;4;4;2
300;300;102;296;305;104;4;5;2
360;300;102;354;305;105;6;5;3
420;300;102;412;302;105;8;2;3
480;300;102;472;299;105;8;1;3
540;300;102;532;295;105;8;5;3
600;300;102;;;;;;
0;360;102;5;345;107;5;15;5
60;360;102;56;364;105;4;4;3
120;360;102;120;363;105;0;3;3
180;360;102;179;364;105;1;4;3
240;360;102;237;364;106;3;4;4
300;360;102;295;364;106;5;4;4
360;360;102;352;364;106;8;4;4
420;360;102;409;363;107;11;3;5
480;360;102;469;360;106;11;0;4
540;360;102;530;358;107;10;2;5
600;360;102;597;343;107;3;17;5
0;420;102;5;379;109;5;41;7
60;420;102;55;428;106;5;8;4
120;420;102;120;426;107;0;6;5
180;420;102;180;425;107;0;5;5
240;420;102;238;423;107;2;3;5
300;420;102;293;423;107;7;3;5
360;420;102;350;421;107;10;1;5
420;420;102;407;420;107;13;0;5
480;420;102;465;424;107;15;4;5
540;420;102;528;425;109;12;5;7
600;420;102;596;381;109;4;39;7
